FIGHTER_LOSE;FIGHTER_WIN;METHOD;METHOD_DESC;PASS_LOSE;PASS_WIN;ROUND;STR_LOSE;STR_WIN;SUB_LOSE;SUB_WIN;TD_LOSE;TD_WIN;DATE
1229;1402;0;43;0.0;2.0;3;51.0;53.0;0.0;0.0;0.0;1.0;2007-09-15 00:00:00
1664;604;1;44;1.0;1.0;1;1.0;2.0;2.0;2.0;1.0;0.0;2007-09-15 00:00:00
1364;695;0;43;0.0;2.0;1;5.0;29.0;0.0;0.0;1.0;1.0;2007-09-15 00:00:00
628;1440;1;44;0.0;1.0;1;1.0;3.0;0.0;2.0;0.0;1.0;2007-10-03 00:00:00
395;1613;1;23;0.0;0.0;1;0.0;2.0;0.0;1.0;0.0;0.0;2006-09-27 00:00:00
1706;1613;0;3;0.0;0.0;1;3.0;8.0;0.0;0.0;0.0;0.0;2006-11-30 00:00:00
551;1440;1;23;0.0;1.0;1;1.0;0.0;0.0;2.0;0.0;1.0;2007-04-08 00:00:00
369;1440;1;23;0.0;0.0;1;0.0;6.0;0.0;1.0;0.0;2.0;2007-06-12 00:00:00
540;1440;1;23;0.0;0.0;1;4.0;6.0;0.0;1.0;0.0;3.0;2007-06-12 00:00:00
214;1349;0;43;0.0;2.0;1;3.0;21.0;0.0;0.0;1.0;2.0;2004-02-06 00:00:00
61;968;1;5;0.0;1.0;1;1.0;0.0;0.0;2.0;0.0;1.0;2001-08-19 00:00:00
1635;109;0;43;2.0;2.0;2;5.0;28.0;0.0;0.0;1.0;2.0;2008-01-02 00:00:00
535;583;0;43;0.0;1.0;1;0.0;19.0;0.0;0.0;0.0;1.0;2008-01-02 00:00:00
359;583;0;10;1.0;5.0;1;4.0;47.0;0.0;0.0;0.0;1.0;2007-10-19 00:00:00
495;553;0;42;0.0;0.0;1;3.0;6.0;0.0;0.0;0.0;1.0;2003-12-18 00:00:00
1154;1363;1;19;0.0;4.0;3;16.0;9.0;1.0;5.0;0.0;4.0;2003-06-09 00:00:00
553;756;0;27;3.0;4.0;2;9.0;19.0;0.0;0.0;2.0;2.0;2003-06-09 00:00:00
257;553;1;55;0.0;0.0;1;5.0;2.0;0.0;1.0;1.0;0.0;2003-06-09 00:00:00
523;1154;0;43;3.0;2.0;2;5.0;21.0;1.0;1.0;2.0;0.0;2003-06-09 00:00:00
398;366;1;19;0.0;1.0;1;0.0;3.0;1.0;1.0;0.0;1.0;2007-02-08 00:00:00
1011;131;0;42;0.0;0.0;1;0.0;4.0;0.0;0.0;0.0;0.0;2007-02-08 00:00:00
436;131;0;27;0.0;0.0;1;8.0;14.0;0.0;0.0;0.0;0.0;2006-12-29 00:00:00
1463;366;1;32;0.0;1.0;1;8.0;8.0;0.0;1.0;0.0;1.0;2008-05-16 00:00:00
216;131;0;42;0.0;0.0;1;9.0;7.0;0.0;0.0;0.0;0.0;2006-09-23 00:00:00
1011;131;0;43;0.0;2.0;1;3.0;12.0;0.0;0.0;0.0;1.0;2006-04-29 00:00:00
593;890;0;43;0.0;3.0;1;3.0;24.0;0.0;0.0;0.0;2.0;2010-10-07 00:00:00
1762;1216;0;27;0.0;0.0;1;0.0;5.0;0.0;0.0;0.0;0.0;2001-12-31 00:00:00
1653;52;0;30;0.0;0.0;1;0.0;7.0;0.0;0.0;0.0;0.0;2003-12-31 00:00:00
1762;546;0;42;0.0;0.0;1;2.0;15.0;0.0;0.0;0.0;0.0;2003-12-31 00:00:00
1386;1077;0;43;0.0;0.0;2;9.0;24.0;0.0;0.0;0.0;1.0;2003-12-31 00:00:00
575;543;0;43;4.0;3.0;3;25.0;69.0;0.0;2.0;4.0;2.0;2003-09-13 00:00:00
445;109;1;55;1.0;8.0;3;17.0;62.0;0.0;2.0;0.0;0.0;2009-09-05 00:00:00
480;543;0;42;0.0;2.0;2;15.0;8.0;0.0;0.0;0.0;1.0;2004-05-15 00:00:00
442;1077;0;12;0.0;3.0;3;12.0;56.0;0.0;0.0;1.0;1.0;2006-04-29 00:00:00
1169;52;1;19;;;1;;;;;;;2007-06-23 00:00:00
1172;1077;1;15;0.0;1.0;1;0.0;1.0;0.0;1.0;0.0;1.0;2004-03-14 00:00:00
561;1752;1;5;0.0;3.0;1;0.0;2.0;0.0;1.0;0.0;1.0;2004-12-31 00:00:00
1127;961;1;29;0.0;1.0;1;4.0;9.0;0.0;1.0;0.0;1.0;2007-12-31 00:00:00
1213;209;0;43;0.0;2.0;1;1.0;4.0;0.0;0.0;0.0;1.0;2007-02-06 00:00:00
661;695;1;44;0.0;5.0;1;0.0;6.0;0.0;1.0;0.0;1.0;2007-02-06 00:00:00
1752;766;0;30;1.0;0.0;1;1.0;6.0;1.0;0.0;2.0;0.0;2005-03-26 00:00:00
954;961;1;5;0.0;3.0;1;6.0;14.0;0.0;2.0;0.0;1.0;2007-09-17 00:00:00
52;1522;0;43;0.0;0.0;1;26.0;24.0;0.0;0.0;0.0;0.0;2007-09-17 00:00:00
233;1752;1;5;0.0;1.0;1;0.0;0.0;0.0;1.0;0.0;1.0;2005-06-07 00:00:00
