"MES";"CLIENT";"PROD_TYPE";"COUNT_SKU"
01.04.2012 0:00:00;400;"สรา";197
01.04.2012 0:00:00;413;"ยั";15278
01.04.2012 0:00:00;5143;"ยั";700
01.04.2012 0:00:00;5191;"ยั";1908
01.04.2012 0:00:00;5248;"ยั";32
01.04.2012 0:00:00;126;"ยั";13485
01.04.2012 0:00:00;138;"สรา";1852
01.04.2012 0:00:00;122;"ฬรา";5287
01.04.2012 0:00:00;163;"ฬรา";5244
01.04.2012 0:00:00;754;"ยั";2011
01.04.2012 0:00:00;144;"ยั";9756
01.04.2012 0:00:00;189;"ยั";9444
01.04.2012 0:00:00;769;"สรา";517
01.04.2012 0:00:00;5018;"ยั";14130
01.04.2012 0:00:00;955;"ยั";12100
01.04.2012 0:00:00;156;"ยั";12120
01.04.2012 0:00:00;478;"สรา";46
01.04.2012 0:00:00;848;"ยั";18362
01.04.2012 0:00:00;5107;"ยั";11443
01.04.2012 0:00:00;248;"ยั";8005
01.04.2012 0:00:00;714;"ยั";7800
01.04.2012 0:00:00;497;"ยั";8059
01.04.2012 0:00:00;5335;"ยั";2210
01.04.2012 0:00:00;149;"ยั";22
01.04.2012 0:00:00;5208;"ยั";20
01.04.2012 0:00:00;5051;"ฬรา";2631
01.04.2012 0:00:00;918;"ยั";3210
01.04.2012 0:00:00;860;"ยั";17
01.04.2012 0:00:00;881;"ยั";62
01.04.2012 0:00:00;291;"ยั";6407
01.04.2012 0:00:00;5083;"ยั";321
01.04.2012 0:00:00;705;"ยั";6
01.04.2012 0:00:00;117;"ยั";21835
01.04.2012 0:00:00;5029;"ยั";99
01.04.2012 0:00:00;5145;"ยั";49
01.04.2012 0:00:00;5158;"ยั";3
01.04.2012 0:00:00;480;"ยั";52
01.04.2012 0:00:00;738;"ยั";41
01.04.2012 0:00:00;957;"สรา";1357
01.04.2012 0:00:00;5094;"ฬรา";3928
01.04.2012 0:00:00;5040;"ฬรา";4530
01.04.2012 0:00:00;5133;"ฬรา";5547
01.04.2012 0:00:00;799;"ฬรา";5954
01.04.2012 0:00:00;5197;"ยั";7510
01.04.2012 0:00:00;503821;"ยั";200
01.04.2012 0:00:00;468316;"ยั";13
01.04.2012 0:00:00;489;"ยั";21300
01.03.2012 0:00:00;495;"ฬรา";10608
01.03.2012 0:00:00;735;"ฬรา";11370
01.03.2012 0:00:00;914;"ฬรา";2201
01.03.2012 0:00:00;5073;"ยั";5676
01.03.2012 0:00:00;5149;"ฬรา";17919
01.04.2012 0:00:00;468285;"ยั";2
01.03.2012 0:00:00;810;"สรา";1668
01.03.2012 0:00:00;846;"ฬรา";10154
01.03.2012 0:00:00;5025;"ยั";16979
